gene	consensus_z	consensus_p	consensus_fdr	n_primary_endpoints	n_positive_endpoint_z	n_negative_endpoint_z	mean_abs_endpoint_z	direction_in_chk1i_sensitive_state	abs_consensus_z
PCNX1	3.0824879759214308	0.00205278023405602	0.014341075303277828	3	3	0	1.7796752626720227	higher_in_sensitive	3.0824879759214308
CCDC25	3.0817428516711214	0.0020579253202155532	0.014368268995769654	3	3	0	1.7792450649855267	higher_in_sensitive	3.0817428516711214
ZNF782	-3.0817075188022067	0.002058169587371942	0.014368268995769654	3	0	3	1.7792246655441477	lower_in_sensitive	3.0817075188022067
GRK1	-3.081365279467525	0.0020605369717329584	0.014379566987760573	3	1	2	1.86672955922107	lower_in_sensitive	3.081365279467525
VEGFC	3.0810843453711367	0.0020624821538621123	0.014387911478868035	3	3	0	1.7788648761959676	higher_in_sensitive	3.0810843453711367
RPP21	-3.080155875016871	0.0020689228541354576	0.014427599329347082	3	0	3	1.7783288235869976	lower_in_sensitive	3.080155875016871
RPS27A	3.0792316281300027	0.0020753525766154914	0.014462480006257408	3	3	0	1.7777952093980665	higher_in_sensitive	3.0792316281300027
WWTR1	3.079220310899447	0.0020754314208375436	0.014462480006257408	3	3	0	1.7777886753919587	higher_in_sensitive	3.079220310899447
RECQL5	-3.0790547366340304	0.002076585248179313	0.014465269809341964	3	0	3	1.7776930810452496	lower_in_sensitive	3.0790547366340304
FAM135B	-3.078393828130422	0.0020811967455212875	0.014492134610271193	3	0	3	1.7773115053427817	lower_in_sensitive	3.078393828130422
ZNF709	-3.0779192430540316	0.002084513961256112	0.014505691662809697	3	0	3	1.7770375035211743	lower_in_sensitive	3.0779192430540316
OR2L13	3.077899105639432	0.002084654823298883	0.014505691662809697	3	3	0	1.7770258771794343	higher_in_sensitive	3.077899105639432
STAB1	-3.0775197123712554	0.0020873103271444476	0.014518907123376485	3	0	3	1.776806834373924	lower_in_sensitive	3.0775197123712554
NARS2	-3.0770812472918765	0.0020903831596169624	0.014535014812867236	3	0	3	1.7765536864423142	lower_in_sensitive	3.0770812472918765
MMP24OS	-3.0757739453042015	0.002099569582436033	0.014593604939756323	3	0	3	1.775798915287818	lower_in_sensitive	3.0757739453042015
ZBTB38	-3.075331188464223	0.0021026892225466565	0.014609999165563051	3	0	3	1.7755432895070709	lower_in_sensitive	3.075331188464223
KDM1B	-3.0750124789547373	0.0021049374628865176	0.014620329020439712	3	0	3	1.7753592824859759	lower_in_sensitive	3.0750124789547373
TAF1C	3.074800588831805	0.002106433397871453	0.014625427982761717	3	3	0	1.7752369476664622	higher_in_sensitive	3.074800588831805
GPM6B	-3.074655608583112	0.0021074575137998183	0.014627248499612767	3	0	3	1.7751532432808521	lower_in_sensitive	3.074655608583112
SPDYE17	3.0739690614604185	0.0021123133703447204	0.01465565308416261	3	3	0	1.7747568651147538	higher_in_sensitive	3.0739690614604185
ACE	-3.073236642292926	0.002117504984045641	0.01468636585394083	3	0	3	1.7743340027112424	lower_in_sensitive	3.073236642292926
CCNB1IP1	3.073072955656671	0.0021186668441894457	0.014689117397886956	3	3	0	1.7742394981877379	higher_in_sensitive	3.073072955656671
ZNF585B	-3.0729151696741597	0.0021197873743996564	0.014691580510369893	3	0	3	1.7741484004082606	lower_in_sensitive	3.0729151696741597
MXD4	-3.072133365108405	0.0021253474459050044	0.014722377159220522	3	1	2	1.7897419542287298	lower_in_sensitive	3.072133365108405
ATXN7L3B	-3.0720747794342977	0.0021257646361787313	0.014722377159220522	3	1	2	1.7762303123074175	lower_in_sensitive	3.0720747794342977
ANKS6	3.071684291345867	0.0021285472319602914	0.014736332405039191	3	2	1	2.3123280940443016	higher_in_sensitive	3.071684291345867
OR10AG1	3.0713011896754927	0.002131280437971565	0.014745572496577571	3	3	0	1.7732165686215635	higher_in_sensitive	3.0713011896754927
AVPI1	3.071281913441546	0.0021314180476092698	0.014745572496577571	3	3	0	1.7732054394827053	higher_in_sensitive	3.071281913441546
EXPH5	-3.0700865352965065	0.002139967576662955	0.01479804580398104	3	0	3	1.7725152875888834	lower_in_sensitive	3.0700865352965065
KIF5B	3.0700060296504774	0.002140544494096018	0.01479804580398104	3	3	0	1.7724688076324773	higher_in_sensitive	3.0700060296504774
NAV3	3.069123173510708	0.002146880558152926	0.014823450814983501	3	3	0	1.7719590904025255	higher_in_sensitive	3.069123173510708
ADAMTSL2	-3.069104657181275	0.002147013629686304	0.014823450814983501	3	0	3	1.7719483999947432	lower_in_sensitive	3.069104657181275
CMTM5	-3.0689960225075477	0.0021477945081894876	0.014823450814983501	3	0	3	1.7718856797366234	lower_in_sensitive	3.0689960225075477
HMCN1	3.06889025057371	0.0021485550591747353	0.014823450814983501	3	3	0	1.7718246122821493	higher_in_sensitive	3.06889025057371
TRPV6	-3.068854985285873	0.0021488086884074746	0.014823450814983501	3	0	3	1.7718042518587236	lower_in_sensitive	3.068854985285873
MAP4K4	3.068848942345602	0.0021488521522085155	0.014823450814983501	3	2	1	1.8960641816470563	higher_in_sensitive	3.068848942345602
TDRD12	-3.068693589259204	0.0021499698048363966	0.014824734191322918	3	0	3	1.7717110698192802	lower_in_sensitive	3.068693589259204
NUP54	3.0686084427330873	0.002150582598334948	0.014824734191322918	3	3	0	1.7716619104495062	higher_in_sensitive	3.0686084427330873
SLC9A7	-3.068235623739386	0.0021532676362242906	0.01483791531953838	3	0	3	1.7714466633031336	lower_in_sensitive	3.068235623739386
TXLNB	-3.0677540147959905	0.002156740727611809	0.014856515424718875	3	0	3	1.7711686062500203	lower_in_sensitive	3.0677540147959905
PTPN18	-3.067344140733203	0.0021597005521311074	0.014871567862199786	3	0	3	1.7709319653495361	lower_in_sensitive	3.067344140733203
GARIN3	-3.0666164531113522	0.0021649645807315476	0.014902470426993277	3	0	3	1.7705118347051745	lower_in_sensitive	3.0666164531113522
DNASE1L1	-3.066289880319765	0.0021673308014336034	0.014913411012875383	3	0	3	1.7703232878160415	lower_in_sensitive	3.066289880319765
SPTY2D1	-3.0660888863336306	0.0021687883048484183	0.01491650241242837	3	0	3	1.7702072438840413	lower_in_sensitive	3.0660888863336306
USP47	-3.0660136609011177	0.002169334031435567	0.01491650241242837	3	0	3	1.7701638124603303	lower_in_sensitive	3.0660136609011177
CEACAM16	-3.065468698907124	0.002173291245729701	0.014938362096497959	3	1	2	1.833884044682457	lower_in_sensitive	3.065468698907124
PABIR1	-3.064766192160035	0.002178402226657005	0.014968133839427767	3	0	3	1.7694435860468605	lower_in_sensitive	3.064766192160035
DPP3	-3.0645102155597175	0.002180267282593269	0.014975589012960854	3	0	3	1.7692957978877608	lower_in_sensitive	3.0645102155597175
PES1	3.0633140647056	0.0021890019022913062	0.015030206909938662	3	3	0	1.7686051998701446	higher_in_sensitive	3.0633140647056
CACNG4	-3.0619848544271107	0.0021987457752935197	0.015091713047581334	3	0	3	1.7678377799580494	lower_in_sensitive	3.0619848544271107
CLIC4	3.0618527607688955	0.0021997162659190984	0.015092978153364852	3	3	0	1.7677615156489204	higher_in_sensitive	3.0618527607688955
ABHD2	-3.0604692685317665	0.0022099043837662626	0.015157464937315008	3	0	3	1.7669627560333925	lower_in_sensitive	3.0604692685317665
MAGEB6B	-3.060316468073127	0.0022110322632194345	0.015159784781888107	3	0	3	1.7668745366474647	lower_in_sensitive	3.060316468073127
KIFC2	-3.059994444298065	0.002213410973290721	0.015170676138962962	3	0	3	1.766688616134247	lower_in_sensitive	3.059994444298065
BFSP2	-3.0596554353464454	0.0022159176826210113	0.015180422589561182	3	0	3	1.7664928892247718	lower_in_sensitive	3.0596554353464454
COL17A1	3.059588294593158	0.002216414445178664	0.015180422589561182	3	3	0	1.766454125492788	higher_in_sensitive	3.059588294593158
ZBTB20	-3.0593064972548425	0.0022185005271357725	0.015189291412251268	3	0	3	1.7662914297236545	lower_in_sensitive	3.0593064972548425
MYADML2	-3.0586520812152145	0.002223351964117329	0.015211023709149289	3	0	3	1.7659136024470132	lower_in_sensitive	3.0586520812152145
